su_id,UniqueID1,ParentUniqueID1,UniqueID1_recruiter
22223543,3000257,3002158,
22223543,3000257,3002158,
22223550,3000258,3000258,3001549
22223551,3000258,3000259,
22223551,3000258,3000259,
22223551,3000259,3000259,3001549
22223550,3000259,3000258,
22226914,3000259,3002684,
22223628,3000259,3002279,
22223550,3000259,3000258,
22223552,3000260,3000210,
22223552,3000260,3000210,
22223555,3000261,3000261,3000041
22223553,3000261,3000042,
22223578,3000262,3000262,3001755
22223615,3000262,3000269,
22223614,3000263,3000263,3000262
22223578,3000263,3000262,
22227297,3000264,3002891,
22223602,3000264,3000233,
22223603,3000265,3000265,3000251
22227295,3000265,3002882,
22223605,3000266,3000266,3002152
22223905,3000266,3002473,
22223606,3000267,3002264,
22223606,3000267,3002264,
22223606,3000268,3002264,
22223606,3000268,3002264,
22223615,3000269,3000269,3000262
22223633,3000269,3000232,
22223615,3000270,3000269,
22223633,3000270,3000232,
22223616,3000271,3002273,
22223616,3000271,3002273,
22223629,3000272,3000228,
22223629,3000272,3000228,
22223630,3000273,3000273,3000258
22223841,3000273,3002427,
22223839,3000273,3002419,
22223631,3000274,3000274,3000269
22223633,3000274,3000232,
22223820,3000275,3002402,
22223820,3000275,3002402,
22223881,3000276,3000276,3000278
22223955,3000276,3002510,
22223881,3000277,3000276,
22223955,3000277,3002510,
22226956,3000278,3000278,3001764
22223882,3000278,3002443,
22223885,3000278,3002466,
22226851,3000278,3002655,
22223906,3000279,3000279,3002703
22223905,3000279,3002473,
22223912,3000280,3002490,
22223970,3000280,3002514,
22223972,3000281,3000281,3002490
22223912,3000281,3002490,
22227141,3000282,3000282,3002522
22226356,3000282,3002522,
22226357,3000283,3000283,3000033
22228514,3000283,3003243,
22226359,3000284,3002536,
22226359,3000284,3002536,
22226536,3000285,3002562,
22228054,3000285,3000325,
22226539,3000286,3000286,3001272
22227481,3000286,3000310,
22227481,3000286,3000310,
22227561,3000286,3002994,
22226566,3000287,3000287,3000054
22226567,3000287,3002590,
22228513,3000287,3003238,
22227387,3000288,3002928,
22226567,3000288,3002590,
22226569,3000289,3000040,
22226569,3000289,3000040,
22226570,3000290,3000094,
22226570,3000290,3000094,
22226634,3000291,3000291,3000407
22228441,3000291,3003225,
22226958,3000292,3000292,3001764
22226851,3000292,3002655,
22226923,3000293,3002698,
22226923,3000293,3002698,
22226957,3000294,3002703,
22226957,3000294,3002703,
22226958,3000295,3000292,
22226958,3000295,3000292,
22227057,3000296,3000296,3000087
22228053,3000296,3003105,
22228054,3000296,3000325,
22228054,3000296,3000325,
22227481,3000297,3000310,
22227115,3000297,3000241,
22227124,3000298,3000298,3002730
22227217,3000298,3002816,
22227219,3000298,3002823,
22227151,3000299,3002786,
22227151,3000299,3002786,
22227292,3000300,3000300,3002790
22227153,3000300,3002790,
22227220,3000301,3002826,
22227220,3000301,3002826,
22227265,3000302,3002835,
22227265,3000302,3002835,
22227391,3000303,3000303,3002895
22227299,3000303,3002895,
22227307,3000304,3002898,
22227309,3000304,3002902,
22227386,3000305,3000305,3002807
22227453,3000305,3000306,
22227453,3000306,3000306,3000305
22227386,3000306,3000305,
22227524,3000306,3002984,
22227389,3000307,3000307,3002807
22228095,3000307,3000308,
22228095,3000308,3000308,3000307
22227389,3000308,3000307,
22227392,3000309,3002944,
22227392,3000309,3002944,
22227481,3000310,3000310,3000279
22227483,3000310,3002976,
22227543,3000311,3000311,3001010
22228299,3000311,3000313,
22227543,3000312,3000311,
22227543,3000312,3000311,
22228299,3000313,3000313,3000311
22228296,3000313,3000314,
22227543,3000313,3000311,
22227543,3000313,3000311,
22228296,3000314,3000314,3000311
22228299,3000314,3000313,
22227543,3000314,3000311,
22227589,3000315,3000315,3000121
22228354,3000315,3003211,
22227643,3000316,3000001,
22227643,3000316,3000001,
22227703,3000317,3003022,
22227703,3000317,3003022,
22227705,3000318,3000318,3002968
22227703,3000318,3003022,
22227704,3000319,3000319,3002968
22227703,3000319,3003022,
22227705,3000320,3000318,
22227705,3000320,3000318,
22227746,3000321,3000135,
22227746,3000321,3000135,
22227746,3000322,3000135,
22227746,3000322,3000135,
22228078,3000323,3000323,3003053
22227800,3000323,3003060,
22228120,3000324,3000330,
22228003,3000324,3000049,
22228054,3000325,3000325,3000296
22228055,3000325,3000326,
22228056,3000325,3000327,
22228056,3000325,3000327,
22228055,3000326,3000326,3000296
22228054,3000326,3000325,
22228056,3000326,3000327,
22228056,3000326,3000327,
22228056,3000327,3000327,3000296
22228054,3000327,3000325,
22228055,3000327,3000326,
22228055,3000327,3000326,
22228095,3000328,3000308,
22228095,3000328,3000308,
22228119,3000329,3003139,
22228119,3000329,3003139,
22228120,3000330,3000330,3000049
22228227,3000330,3000331,
22228227,3000331,3000331,3000330
22228120,3000331,3000330,
22228300,3000331,3000334,
22228302,3000331,3000335,
22228300,3000331,3000334,
22228121,3000332,3003150,
22228121,3000332,3003150,
22228122,3000333,3000333,3000049
22228551,3000333,3003266,
22228551,3000333,3003266,
22228300,3000334,3000334,3000331
22228227,3000334,3000331,
22228364,3000334,3000338,
22228227,3000334,3000331,
22228364,3000334,3000338,
22228302,3000335,3000335,3000331
22228227,3000335,3000331,
22228233,3000336,3000336,3003125
22228234,3000336,3000337,
22228234,3000337,3000337,3003125
22228233,3000337,3000336,
22228233,3000337,3000336,
22228364,3000338,3000338,3000334
22228300,3000338,3000334,
22228318,3000339,3000339,3000221
22228319,3000339,3003194,
22228342,3000340,3000340,3000337
22228498,3000340,3000341,
22228498,3000341,3000341,3000340
22228342,3000341,3000340,
22228514,3000342,3003243,
22228515,3000342,3003244,
22228571,3000343,3003269,
22228571,3000343,3003269,
11111004,3000344,3000344,3000344
11111004,3000345,3000344,
11111004,3000346,3000344,
11111004,3000347,3000344,
11111004,3000348,3000344,
11111004,3000349,3000344,
11111004,3000350,3000344,
11111004,3000351,3000344,
11111019,3000352,3000352,3000352
11111019,3000353,3000352,
11111019,3000354,3000352,
11111019,3000355,3000352,
11111019,3000356,3000352,
11111019,3000357,3000352,
11111019,3000358,3000352,
11111019,3000359,3000352,
11111019,3000360,3000352,
11111020,3000361,3000002,
11111026,3000362,3000007,
11111026,3000363,3000007,
11111026,3000364,3000007,
11111026,3000365,3000007,
11111026,3000366,3000007,
11111026,3000367,3000007,
11111027,3000368,3000009,
11111027,3000369,3000009,
11111027,3000370,3000009,
11111027,3000371,3000009,
11111028,3000372,3000372,3000372
11111028,3000373,3000372,
11111028,3000374,3000372,
11111028,3000375,3000372,
11111028,3000376,3000372,
11111033,3000377,3000011,
11111033,3000378,3000011,
11111033,3000379,3000011,
11111033,3000380,3000011,
11111033,3000381,3000011,
11111033,3000382,3000011,
11111036,3000383,3000015,
11111036,3000384,3000015,
11111036,3000385,3000015,
11111036,3000386,3000015,
11111036,3000387,3000015,
11111036,3000388,3000015,
11111036,3000389,3000015,
11111046,3000390,3000390,3000390
11111046,3000391,3000390,
11111046,3000392,3000390,
11111046,3000393,3000390,
11111046,3000394,3000390,
11111047,3000395,3000018,
11111047,3000396,3000018,
11111047,3000397,3000018,
11111047,3000398,3000018,
11111058,3000399,3000020,
11111058,3000400,3000020,
11111058,3000401,3000020,
11111060,3000402,3000022,
11111063,3000403,3000026,
11111063,3000404,3000026,
11111063,3000405,3000026,
11111063,3000406,3000026,
11111064,3000407,3000407,3000407
11111064,3000408,3000407,
11111064,3000409,3000407,
11111064,3000410,3000407,
11111064,3000411,3000407,
11111064,3000412,3000407,
11111064,3000413,3000407,
11111100,3000414,3000414,3000414
11111100,3000415,3000414,
11111100,3000416,3000414,
11111100,3000417,3000414,
11111100,3000418,3000414,
11111100,3000419,3000414,
11111100,3000420,3000414,
11111100,3000421,3000414,
11111100,3000422,3000414,
11111100,3000423,3000414,
11111103,3000424,3000030,
11111103,3000425,3000030,
11111103,3000426,3000030,
11111103,3000427,3000030,
11111103,3000428,3000030,
11111103,3000429,3000030,
11111103,3000430,3000030,
11111118,3000431,3000033,
11111118,3000432,3000033,
11111118,3000433,3000033,
11111121,3000434,3000036,
11111121,3000435,3000036,
11111123,3000436,3000436,3000436
11111123,3000437,3000436,
11111123,3000438,3000436,
11111123,3000439,3000436,
11111123,3000440,3000436,
11111123,3000441,3000436,
11111126,3000442,3000010,
11111126,3000443,3000010,
11111126,3000444,3000010,
