"","V1","V2"
"598",8297,1
"599",8299,1
"600",8300,1
"601",8301,1
"602",8302,2
"603",8318,1
"604",8319,1
"605",8342,1
"606",8350,1
"607",8354,1
"608",8363,1
"609",8364,2
"610",8373,1
"611",8441,1
"612",8493,1
"613",8498,2
"614",8513,2
"615",8514,2
"616",8515,2
"617",8547,2
"618",8548,2
"619",8550,1
"620",8551,1
"621",8571,1
"622",8572,2
