SU_ID,source,alter,UniqueID1,ParentUniqueID1
11111317,2,4,3000651,3000078
11111317,2,5,3000652,3000078
11111318,0,0,3000653,3000653
11111318,1,1,3000654,3000653
11111318,1,2,3000655,3000653
11111318,1,3,3000656,3000653
11111318,2,1,3000657,3000653
11111318,2,2,3000658,3000653
11111318,2,3,3000659,3000653
11111318,2,4,3000660,3000653
11111319,0,0,3000080,3000080
11111319,1,1,3000081,3000080
11111319,1,2,3000661,3000080
11111319,2,1,3000081,3000080
11111319,2,2,3000662,3000080
11111320,0,0,3000081,3000081
11111320,1,1,3000080,3000081
11111320,1,2,3000663,3000081
11111320,2,1,3000080,3000081
11111320,2,2,3000664,3000081
11111321,0,0,3000665,3000665
11111321,1,1,3000666,3000665
11111321,1,2,3000667,3000665
11111321,1,3,3000668,3000665
11111321,2,1,3000669,3000665
11111321,2,2,3000670,3000665
11111321,2,3,3000671,3000665
22222029,0,0,3000672,3000672
22222029,1,1,3000082,3000672
22222029,1,2,3000673,3000672
22222029,2,1,3000674,3000672
22222034,0,0,3000083,3000083
22222034,1,1,3000675,3000083
22222034,1,2,3000676,3000083
22222034,1,3,3000084,3000083
22222034,2,1,3000677,3000083
22222034,2,2,3000678,3000083
22222034,2,3,3000679,3000083
22222034,2,4,3000680,3000083
22222034,2,5,3000681,3000083
22222035,0,0,3000682,3000682
22222035,1,1,3000683,3000682
22222035,1,2,3000684,3000682
22222035,1,3,3000685,3000682
22222035,1,4,3000686,3000682
22222035,1,5,3000687,3000682
22222036,0,0,3000688,3000688
22222036,1,1,3000689,3000688
22222036,1,2,3000085,3000688
22222036,1,3,3000690,3000688
22222036,2,1,3000691,3000688
22222036,2,2,3000692,3000688
22222036,2,3,3000693,3000688
22222046,0,0,3000694,3000694
22222046,1,1,3000695,3000694
22222046,2,1,3000696,3000694
22222047,0,0,3000697,3000697
22222047,1,1,3000698,3000697
22222047,1,2,3000086,3000697
22222047,2,1,3000699,3000697
22222047,2,2,3000700,3000697
22222047,2,3,3000701,3000697
22222047,2,4,3000702,3000697
22222048,0,0,3000703,3000703
22222048,1,1,3000704,3000703
22222048,2,1,3000705,3000703
22222048,2,2,3000706,3000703
22222048,2,3,3000707,3000703
22222048,2,4,3000708,3000703
22222048,2,5,3000709,3000703
22222049,0,0,3000087,3000087
22222049,1,1,3000710,3000087
22222049,1,2,3000711,3000087
22222049,2,1,3000712,3000087
22222049,2,2,3000713,3000087
22222049,2,3,3000714,3000087
22222049,2,4,3000715,3000087
22222049,2,5,3000716,3000087
22222049,2,6,3000717,3000087
22222050,0,0,3000088,3000088
22222050,1,1,3000718,3000088
22222050,1,2,3000719,3000088
22222050,1,3,3000089,3000088
22222050,1,4,3000720,3000088
22222050,2,1,3000721,3000088
22222050,2,2,3000722,3000088
22222050,2,3,3000723,3000088
22222050,2,4,3000724,3000088
22222050,2,5,3000725,3000088
22222065,0,0,3000726,3000726
22222065,1,1,3000727,3000726
22222065,1,2,3000728,3000726
22222065,2,1,3000729,3000726
22222113,0,0,3000730,3000730
22222113,1,1,3000731,3000730
22222113,1,2,3000732,3000730
22222113,2,1,3000733,3000730
22222113,2,2,3000734,3000730
22222113,2,3,3000735,3000730
22222114,0,0,3000736,3000736
22222114,1,1,3000090,3000736
22222114,1,2,3000737,3000736
22222114,1,3,3000738,3000736
22222114,1,4,3000739,3000736
22222114,2,1,3000740,3000736
22222115,0,0,3000741,3000741
22222115,1,1,3000742,3000741
22222115,1,2,3000743,3000741
22222115,2,1,3000744,3000741
22222115,2,2,3000745,3000741
22222117,0,0,3000746,3000746
22222117,1,1,3000091,3000746
22222117,1,2,3000747,3000746
22222117,1,3,3000748,3000746
22222117,2,1,3000091,3000746
22222119,0,0,3000749,3000749
22222119,1,1,3000750,3000749
22222119,1,2,3000751,3000749
22222119,1,3,3000752,3000749
22222119,1,4,3000753,3000749
22222119,2,1,3000754,3000749
22222119,2,2,3000755,3000749
22222119,2,3,3000756,3000749
22222119,2,4,3000757,3000749
22222119,2,5,3000758,3000749
22222120,0,0,3000759,3000759
22222120,1,1,3000760,3000759
22222120,1,2,3000761,3000759
22222120,2,1,3000762,3000759
22222120,2,2,3000763,3000759
22222120,2,3,3000764,3000759
22222123,0,0,3000765,3000765
22222123,1,1,3000092,3000765
22222123,1,2,3000766,3000765
22222123,1,3,3000767,3000765
22222123,2,1,3000092,3000765
